timestamp,symbol,feature_vector,prediction_probability,actual_outcome,correct
2024-04-25 08:00:00+00:00,XAIUSDT,0.215278;0.190972;0.072917;0.038194;0.805556;0.753472;0.576389;0.541667;0.586806;0.527778;0.435764;0.805556;0.809028;0.774306;0.743056;0.086806;0.072917;0.097222;0.420139;0.041667;0.472222;0.562500;0.562500;0.295139;0.208333;0.718750;0.375000,0.602479,0,0
2024-04-25 08:00:00+00:00,TUSDUSDT,0.907986;0.046875;0.625000;0.944444;0.020833;0.020833;0.059028;0.029514;0.996528;0.126736;0.897569;0.006944;0.006944;0.010417;0.159722;0.041667;0.055556;0.038194;0.003472;0.906250;0.065972;0.376736;0.027778;0.010417;0.975694;0.003472;0.180556,0.383398,0,1
2024-04-25 08:00:00+00:00,ICPUSDT,0.284722;0.399306;0.583333;0.635417;0.402778;0.340278;0.781250;0.715278;0.579861;0.350694;0.435764;0.211806;0.576389;0.545139;0.121528;0.291667;0.232639;0.239583;0.482639;0.642361;0.855903;0.651042;0.437500;0.607639;0.173611;0.364583;0.621528,0.604148,0,0
2024-04-25 08:00:00+00:00,GASUSDT,0.500000;0.305556;0.277778;0.701389;0.236111;0.597222;0.086806;0.916667;0.284722;0.126736;0.435764;0.079861;0.104167;0.159722;0.097222;0.319444;0.336806;0.319444;0.253472;0.677083;0.934028;0.829861;0.395833;0.371528;0.569444;0.166667;0.798611,0.603378,0,0
2024-04-25 08:00:00+00:00,POWRUSDT,0.295139;0.371528;0.270833;0.392361;0.861111;0.409722;0.854167;0.916667;0.284722;0.126736;0.435764;0.277778;0.312500;0.218750;0.385417;0.288194;0.225694;0.267361;0.437500;0.472222;0.748264;0.932292;0.465278;0.166667;0.395833;0.173611;0.510417,0.623805,0,0
2024-04-25 08:00:00+00:00,ALICEUSDT,0.381944;0.704861;0.500000;0.302083;0.090278;0.302083;0.378472;0.277778;0.930556;0.126736;0.435764;0.440972;0.416667;0.538194;0.381944;0.670139;0.614583;0.684028;0.579861;0.229167;0.472222;0.376736;0.548611;0.270833;0.086806;0.555556;0.725694,0.637672,0,0
2024-04-25 08:00:00+00:00,SFPUSDT,0.472222;0.163194;0.684028;0.923611;0.649306;0.243056;0.857639;0.302083;0.798611;0.590278;0.435764;0.784722;0.444444;0.166667;0.909722;0.357639;0.562500;0.763889;0.197917;0.878472;0.065972;0.376736;0.302083;0.732639;0.093750;0.586806;0.666667,0.60243,1,1
2024-04-25 08:00:00+00:00,TWTUSDT,0.857639;0.173611;0.104167;0.538194;0.902778;0.944444;0.479167;0.149306;0.916667;0.701389;0.435764;0.222222;0.378472;0.222222;0.288194;0.190972;0.638889;0.781250;0.069444;0.315972;0.352431;0.081597;0.350694;0.364583;0.361111;0.562500;0.704861,0.613433,0,0
2024-04-25 08:00:00+00:00,LSKUSDT,0.951389;0.274306;0.982639;0.989583;0.500000;0.055556;0.913194;0.097222;0.951389;0.725694;0.963542;0.972222;0.982639;0.979167;0.802083;0.093750;0.041667;0.027778;0.815972;0.986111;0.156250;0.932292;0.315972;1.000000;0.996528;0.947917;0.729167,0.37896,0,1
2024-04-25 08:00:00+00:00,PYRUSDT,0.868056;0.315972;0.430556;0.222222;0.291667;0.888889;0.190972;0.173611;0.805556;0.857639;0.435764;0.052083;0.152778;0.138889;0.031250;0.649306;0.809028;0.611111;0.284722;0.354167;0.352431;0.081597;0.128472;0.812500;0.506944;0.184028;0.868056,0.602389,0,0
